id,hiragana,hinmoku,kubun,kubun2,note
1,あーとぱねる（もくせい）,アートパネル（木製）,燃やせるゴミ,可燃,金具は出来る限り取り除く。
2,あーとぱねる（ぷらすちっくせい）,アートパネル（プラスチック製）,その他プラスチック,他プラ,金具は出来る限り取り除く。
3,あーとぱねる（きんぞくせい）,アートパネル（金属製）,金属,金属,
4,あーむすたんど,アームスタンド,金属,金属,
5,あーむばんど,アームバンド,燃やせるゴミ,可燃,
6,あーむばんど（きんぞくせい）,アームバンド（金属製）,金属,金属,
7,ＩＨちょうりき,ＩＨ調理器,金属,金属,
8,ＩＣれこーだー,ＩＣレコーダー,金属（エコ）,金属（エコ）,電池は取り除いて「危険ごみ」 。※記録内容等を消去して排出。
9,あいしゃどうちっぷ,アイシャドウチップ,燃やせるゴミ,可燃,
10,あいすきゃんでーのささげ（ぷらすちっくせい）,アイスキャンデーの棒（プラスチック製）,その他プラスチック,他プラ,
11,あいすくらっしゃー,アイスクラッシャー,金属,金属,
12,あいすくりーむのかっぷ・ふた（かみせい）,アイスクリームのカップ・ふた（紙製）,燃やせるゴミ,可燃,
13,あいすくりーむのかっぷ・ふた（ぷらすちっくせい）,アイスクリームのカップ・ふた（プラスチック製）,容器包装プラスチック,容プラ,
14,あいすくりーむでぃっしゃー（ぷらすちっくせい）,アイスクリームディッシャー（プラスチック製）,その他プラスチック,他プラ,金具が含まれている場合は「金属」。
15,あいすくりーむでぃっしゃー（きんぞくせい）,アイスクリームディッシャー（金属製）,金属,金属,
16,あいすくりーむめーかー,アイスクリームメーカー,金属,金属,電池は取り除いて「危険ごみ」。
17,あいすぴっく,アイスピック,金属,金属,
18,あいすぺーる（がらすせい）,アイスペール（ガラス製）,燃やせないごみ,不燃,
19,あいすぺーる（きんぞくせい）,アイスペール（金属製）,金属,金属,
20,あいすぺーる（ぷらすちっくせい）,アイスペール（プラスチック製）,その他プラスチック,他プラ,
21,あいますく（ぬのるい）,アイマスク（布類）,燃やせるゴミ,可燃,
22,あいますく（でんねつしき）,アイマスク（電熱式）,金属,金属,
23,あいぶろう・あいらいなー,アイブロウ・アイライナー,燃やせるゴミ,可燃,
24,あいろん,アイロン,金属（エコ）,金属（エコ）,
25,あいろんけーす（ぷらすちっくせい）,アイロンケース（プラスチック製）,その他プラスチック,他プラ,
26,あいろんだい,アイロン台,燃やせるゴミ,可燃,金属製の脚付等は「金属」。
27,あいろんだいかばー（ぬの・ないろんせい）,アイロン台カバー（布・ナイロン製）,燃やせるゴミ,可燃,
28,あいろんぷりんとし,アイロンプリント紙,燃やせるゴミ,可燃,
29,あいろんまっと,アイロンマット,燃やせるゴミ,可燃,
30,あうとどあよういす（きんぞくせい）,アウトドア用椅子（金属製）,金属,金属,木製であれば、大きさの規定に従って排出する（ごみ分別ガイドブック７ページ参照）。
31,あかすり,あかすり,燃やせるゴミ,可燃,
32,あくせさりー（きんぞくせい）,アクセサリー（金属製）,金属,金属,
33,あくせさりー（もくせい）,アクセサリー（木製）,燃やせるゴミ,可燃,
34,あくせさりー（ぷらすちっくせい）,アクセサリー（プラスチック製）,その他プラスチック,他プラ,
35,あくとり（きんぞくせい）,あく取り（金属製）,金属,金属,
36,あくとり（ぷらすちっくせい）,あく取り（プラスチック製）,その他プラスチック,他プラ,柄の部分が金属製であれば「金属」。
37,あくとり（しりこんせいせい）,あく取り（シリコン製製）,燃やせるゴミ,可燃,
38,あくりょくけい,握力計,金属,金属,電池は取り除いて「危険ごみ」。
39,あくりるけーす,アクリルケース,その他プラスチック,他プラ,
40,あくりるいた,アクリル板,その他プラスチック,他プラ,
41,あこーでぃおんかーてん（びにーるせい）,アコーディオンカーテン（ビニール製）,その他プラスチック,他プラ,
42,あこーでぃおんどあ（びにーるせい）,アコーディオンドア（ビニール製）,その他プラスチック,他プラ,フレームが金属製であれば「金属」。
43,あこーでぃおんふぇんす（もくせい）,アコーディオンフェンス（木製）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
44,あこーでぃおん,アコーディオン,金属,金属,
45,あこーでぃおんふぇんす（きんぞくせい）,アコーディオンフェンス（金属製）,金属,金属,
46,あすべすと（いしのわた）がんゆうぶつ,アスベスト（石綿）含有物,自己搬入,自己搬入,袋を二重にして津市リサイクルセンターへ自己搬入。
47,あだぷたー（でんげんよう）,アダプター（電源用）,金属,金属,
48,まひも,麻ひも,燃やせるゴミ,可燃,
49,あしげりじてんしゃ,足蹴り自転車,金属,金属,
50,あしげりじょうようがんぐ（おもちゃ）,足蹴り乗用玩具（おもちゃ）,その他プラスチック,他プラ,
51,あしひれ（ふぃん）,足ひれ（フィン）,その他プラスチック,他プラ,
52,あしふきまっと,足拭きマット,燃やせるゴミ,可燃,
53,あせとりぱっど,汗取りパッド,燃やせるゴミ,可燃,
